question_id,source_id,source_locator,part,question_type,question_zh,question_pinyin,question_ko,source_grade,source_name,source_url,originality,answer_point,question_status,normalization_notes
P1-001,src-001,문제은행!A2:N2,1,이름,你叫什么名字？,nǐ jiào shén me míng zì ？,이름이 무엇입니까?,A 공식 고정문제,YBM 공식 샘플,https://www.ybmtsc.co.kr/content/TSC/sample/sample1.php,공식 원문,이름만 짧고 정확하게,raw,
P1-002,src-001,문제은행!A3:N3,1,생년월일,请说出你的出生年月日。,qǐng shuō chū nǐ de chū shēng nián yuè rì 。,생년월일을 말해 주세요.,A 공식 고정문제,YBM 공식 샘플,https://www.ybmtsc.co.kr/content/TSC/sample/sample1.php,공식 원문,연·월·일 숫자와 성조 정확히,raw,
P1-003,src-001,문제은행!A4:N4,1,가족,你家有几口人？,nǐ jiā yǒu jǐ kǒu rén ？,가족이 몇 명입니까?,A 공식 고정문제,YBM 공식 샘플,https://www.ybmtsc.co.kr/content/TSC/sample/sample1.php,공식 원문,가족 수를 口와 함께,raw,
P1-004,src-001,문제은행!A5:N5,1,소속,你在什么地方工作？或者你在哪个学校上学？,nǐ zài shén me dì fāng gōng zuò ？ huò zhě nǐ zài nǎ ge xué xiào shàng xué ？,어디에서 일합니까? 또는 어느 학교에 다닙니까?,A 공식 고정문제,YBM 공식 샘플,https://www.ybmtsc.co.kr/content/TSC/sample/sample1.php,공식 원문,직장인이라면 회사·직무를 짧게,raw,
P2-001,src-001,문제은행!A6:N6,2,행동,他正在做什么？,tā zhèng zài zuò shén me ？,그는 지금 무엇을 하고 있습니까?,B 강의 기출·복원,프로젝트 강의 분석,,강의 확인 문제,그림에 보이는 정보만 1문장,raw,
P2-008,src-001,문제은행!A13:N13,2,상태,孩子怎么了？,hái zi zěn me le ？,아이에게 무슨 일이 있습니까?,B 강의 기출·복원,프로젝트 강의 분석,,강의 확인 문제,그림에 보이는 정보만 1문장,raw,
P2-042,src-001,문제은행!A47:N47,2,위치,书在苹果的右边吗？,shū zài píng guǒ de yòu biān ma ？,책은 사과 오른쪽에 있습니까?,C 공개 기출형,2015 기출 유형 정리,https://qingone.tistory.com/1419,웹 공개 원문/정규화,부정이면 그림의 정답을 바로 수정,raw,
P2-045,src-001,문제은행!A50:N50,2,가격 비교,咖啡和蛋糕哪个更贵？,kā fēi hé dàn gāo nǎ ge gèng guì ？,커피와 케이크 중 어느 것이 더 비쌉니까?,D 공식 그림 변형,YBM 공식 Part 2 샘플 그림,https://www.ybmtsc.co.kr/content/TSC/sample/sample2.php,그림 기반 변형,공식 샘플 그림 기반 연습,raw,
P3-001,src-001,문제은행!A54:N54,3,칭찬 반응,你剪头发了？真漂亮。,nǐ jiǎn tóu fà le ？ zhēn piào liàng 。,머리 잘랐어요? 정말 예쁘네요.,B 강의 기출·복원,프로젝트 강의 분석,,강의 확인 문제,반응 → 이유/상황 → 후속 표현,raw,
P3-003,src-001,문제은행!A56:N56,3,표 구매,你要买几张票？,nǐ yào mǎi jǐ zhāng piào ？,표를 몇 장 사려고 합니까?,B 강의 기출·복원,프로젝트 강의 분석,,강의 확인 문제,반응 → 이유/상황 → 후속 표현,raw,
P3-005,src-001,문제은행!A58:N58,3,매진 대응,五点的电影票卖完了。,wǔ diǎn de diàn yǐng piào mài wán le 。,5시 영화표가 매진되었습니다.,B 강의 기출·복원,프로젝트 강의 분석,,강의 확인 문제,반응 → 이유/상황 → 후속 표현,raw,
P3-006,src-001,문제은행!A59:N59,3,음료 선택,你需要什么？,nǐ xū yào shén me ？,무엇이 필요합니까?,B 강의 기출·복원,프로젝트 강의 분석,,강의 확인 문제,반응 → 이유/상황 → 후속 표현,raw,
P3-076,src-001,문제은행!A129:N129,3,식당,你经常来这家餐厅吗？,nǐ jīng cháng lái zhè jiā cān tīng ma ？,이 식당에 자주 옵니까?,C 공개 기출형,2015 기출 유형 정리,https://qingone.tistory.com/1419,기출형 정규화,15초 안에 2~3마디,raw,
P3-080,src-001,문제은행!A133:N133,3,학교 대화,听说明天有考试，你准备好了吗？,tīng shuō míng tiān yǒu kǎo shì ， nǐ zhǔn bèi hǎo le ma ？,내일 시험이 있다고 들었는데 준비됐습니까?,D 공식 그림 변형,YBM 공식 Part 3 샘플 그림,https://www.ybmtsc.co.kr/content/TSC/sample/sample3.php,그림 기반 변형,실제 음성 문항 전사가 아닌 장면 기반 연습,raw,
P4-001,src-001,문제은행!A138:N138,4,친구,你有没有跟你兴趣爱好非常相似的朋友？请简单说一说。,nǐ yǒu méi yǒu gēn nǐ xìng qù ài hào fēi cháng xiāng sì de péng yǒu ？ qǐng jiǎn dān shuō yī shuō 。,취미가 매우 비슷한 친구가 있습니까? 간단히 말해 주세요.,A 공식 샘플,YBM 공식 샘플,https://www.ybmtsc.co.kr/content/TSC/sample/sample4.php,공식 원문,결론 → 이유 → 예시 → 정리,raw,
P4-002,src-001,문제은행!A139:N139,4,생활습관,你一般会在早上洗澡还是在晚上洗澡？请简单谈谈。,nǐ yì bān huì zài zǎo shàng xǐ zǎo hái shì zài wǎn shàng xǐ zǎo ？ qǐng jiǎn dān tán tán 。,보통 아침과 저녁 중 언제 샤워합니까?,A 공식 샘플,YBM 공식 샘플,https://www.ybmtsc.co.kr/content/TSC/sample/sample4.php,공식 원문,결론 → 이유 → 예시 → 정리,raw,
P4-003,src-001,문제은행!A140:N140,4,성장지역,从小到大，你一直在同一个地区生活吗？请简单说说。,cóng xiǎo dào dà ， nǐ yì zhí zài tóng yī gè dì qū shēng huó ma ？ qǐng jiǎn dān shuō shuō 。,어릴 때부터 계속 같은 지역에서 살았습니까?,A 공식 샘플,YBM 공식 샘플,https://www.ybmtsc.co.kr/content/TSC/sample/sample4.php,공식 원문,결론 → 이유 → 예시 → 정리,raw,
P4-006,src-001,문제은행!A143:N143,4,운동,你喜欢在哪儿运动？,nǐ xǐ huān zài nǎ ér yùn dòng ？,어디에서 운동하는 것을 좋아합니까?,B 강의 기출·복원,프로젝트 강의 분석,,강의 확인 문제,25초: 직접 답변 + 이유 2개 + 경험/예시 + 결론,raw,
