filename,korean_description
part2-1_park_running_bench_cat_clock.png,"공원에서 달리는 남자, 벤치의 여자, 고양이, 시계"
part2-2_weather_rainy_8c_vs_sunny.png,비 오는 8도 날씨와 맑은 날씨 비교
part2-3_fruit_market_scale_2kg_grapes_5yuan.png,"과일 가게, 2kg 저울, 포도 5위안"
part2-4_bakery_bread_magazine_watch_prices.png,"빵집, 잡지, 시계 가격 비교"
part2-5_city_bus_subway_hospital_school_home.png,"도시 건물, 버스 5211, 지하철 1km, 병원/학교/집"
part2-6_room_window_cat_apple_book_flower_slippers.png,"방 안 풍경, 창문 고양이, 사과, 책, 꽃, 슬리퍼"
part2-7_copy_machine_papers_room503_clock.png,"복사기, 종이 묶음, 503호, 시계"
part2-8_library_reading_scale_swim_ring.png,"도서관에서 책/신문 읽기, 체중계, 튜브"
part2-9_bus5211_room103_hospital503_clock.png,"버스 5211, 103호, 병원 503병동, 시계"
part2-10_height_180_162_laptop_3kg_suitcase_15kg.png,"키 180cm/162cm, 노트북 3kg, 여행가방 15kg"
part2-11_clothes_rack_pants_shoes_scarf.png,"옷걸이의 바지, 신발, 목도리한 아이들"
part2-12_cafe_menu_balloons_umbrella_rain.png,"카페 메뉴판, 풍선, 우산, 빗방울"
part7-1-1_buy_new_pink_dress.png,새 분홍 원피스를 산다
part7-1-2_show_new_dress_to_friend.png,친구에게 새 원피스를 보여준다
part7-1-3_spill_drink_on_dress.png,원피스에 음료를 쏟는다
part7-1-4_wash_stained_dress.png,더러워진 원피스를 세탁한다
part7-2-1_pass_driving_test_get_license.png,운전면허 시험에 합격한다
part7-2-2_drive_car_after_getting_license.png,면허를 따고 자동차를 운전한다
part7-2-3_car_accident_on_road.png,도로에서 교통사고가 난다
part7-2-4_pay_expensive_repair_fee.png,비싼 수리비를 낸다
part7-3-1_neighbor_brings_oranges.png,이웃이 귤 한 상자를 준다
part7-3-2_watermelon_is_missing.png,집에 있던 수박이 사라진다
part7-3-3_mother_scolds_boy.png,엄마가 아이를 의심하고 혼낸다
part7-3-4_dog_ate_the_watermelon.png,사실 강아지가 수박을 먹었다
part7-4-1_mother_gives_money_for_apples.png,사과를 사오라고 돈을 준다
part7-4-2_buy_three_apples_at_market.png,시장/가게에서 사과를 산다
part7-4-3_boy_gets_distracted_by_game.png,가는 길에 게임에 빠진다
part7-4-4_leave_apples_on_bench.png,벤치에 사과를 두고 떠난다
part7-5-1_take_a_taxi.png,택시를 탄다
part7-5-2_realize_phone_left_in_taxi.png,택시에 휴대전화를 두고 내린 걸 알게 된다
part7-5-3_call_taxi_driver_about_phone.png,택시기사에게 휴대전화 분실 연락을 한다
part7-5-4_get_phone_back_and_say_thanks.png,휴대전화를 돌려받고 감사한다
part7-6-1_two_friends_walk_together.png,두 친구가 함께 걷는다
part7-6-2_suddenly_it_starts_raining.png,갑자기 비가 온다
part7-6-3_one_friend_has_umbrella.png,한 친구만 우산을 가지고 있다
part7-6-4_share_umbrella_and_go_home.png,우산을 함께 쓰고 돌아간다
part7-7-1_prepare_surprise_birthday_party.png,깜짝 생일파티를 준비한다
part7-7-2_birthday_girl_enters_dark_room.png,주인공이 어두운 방에 들어온다
part7-7-3_friends_shout_surprise.png,친구들이 서프라이즈를 외친다
part7-7-4_enjoy_birthday_party_together.png,함께 생일파티를 즐긴다
part7-8-1_oversleep_in_the_morning.png,아침에 늦잠을 잔다
part7-8-2_run_out_of_home_in_hurry.png,급하게 집에서 뛰어나간다
part7-8-3_miss_the_bus.png,버스를 놓친다
part7-8-4_arrive_late_at_school.png,학교에 지각한다
part7-9-1_find_wallet_on_street.png,길에서 지갑을 발견한다
part7-9-2_pick_up_wallet.png,지갑을 줍는다
part7-9-3_take_wallet_to_police_station.png,지갑을 경찰서에 맡긴다
part7-9-4_owner_gets_wallet_back.png,주인이 지갑을 되찾고 감사한다
part7-10-1_order_noodles_at_restaurant.png,식당에서 국수를 주문한다
part7-10-2_wrong_food_is_served.png,주문과 다른 음식이 나온다
part7-10-3_tell_staff_order_is_wrong.png,직원에게 잘못 나왔다고 말한다
part7-10-4_receive_correct_bowl_of_noodles.png,제대로 된 국수를 다시 받는다
part7-11-1_family_prepares_for_trip.png,가족이 여행 준비를 한다
part7-11-2_family_arrives_at_airport.png,가족이 공항에 도착한다
part7-11-3_discover_passport_left_at_home.png,여권을 집에 두고 온 것을 발견한다
part7-11-4_return_home_sadly.png,결국 다시 집으로 돌아간다
part7-12-1_find_injured_dog.png,길에서 다친 강아지를 발견한다
part7-12-2_take_dog_to_vet.png,강아지를 동물병원에 데려간다
part7-12-3_make_lost_dog_poster_and_call_owner.png,전단지와 전화로 주인을 찾는다
part7-12-4_reunite_dog_with_owner.png,강아지가 주인과 다시 만난다
