question_id,source_id,source_locator,part,question_type,question_zh,question_pinyin,question_ko,source_grade,source_name,source_url,originality,answer_point,question_status,normalization_notes
P5-001,src-001,문제은행!A188:N188,5,학력·소득,你认为一个人的学历和收入有关系吗？请说说你的看法。,nǐ rèn wéi yí gè rén de xué lì hé shōu rù yǒu guān xì ma ？ qǐng shuō shuō nǐ de kàn fǎ 。,학력과 소득이 관련 있다고 생각합니까?,A 공식 샘플,YBM 공식 샘플,https://www.ybmtsc.co.kr/content/TSC/sample/sample5.php,공식 원문,입장 → 이유 2개 → 예시/반론 → 결론,raw,
P5-002,src-001,문제은행!A189:N189,5,자동차 선택,如果价格差不多，在小型新车和大型二手车当中你会选哪一种？为什么？,rú guǒ jià gé chà bu duō ， zài xiǎo xíng xīn chē hé dà xíng èr shǒu chē dāng zhōng nǐ huì xuǎn nǎ yī zhǒng ？ wèi shén me ？,가격이 비슷하면 소형 신차와 대형 중고차 중 무엇을 선택합니까?,A 공식 샘플,YBM 공식 샘플,https://www.ybmtsc.co.kr/content/TSC/sample/sample5.php,공식 원문,입장 → 이유 2개 → 예시/반론 → 결론,raw,
P5-003,src-001,문제은행!A190:N190,5,신용카드,有人说使用信用卡会造成不良的消费习惯，对此你怎么看？,yǒu rén shuō shǐ yòng xìn yòng kǎ huì zào chéng bù liáng de xiāo fèi xí guàn ， duì cǐ nǐ zěn me kàn ？,신용카드 사용이 나쁜 소비 습관을 만든다는 의견에 대해 어떻게 생각합니까?,A 공식 샘플,YBM 공식 샘플,https://www.ybmtsc.co.kr/content/TSC/sample/sample5.php,공식 원문,입장 → 이유 2개 → 예시/반론 → 결론,raw,
P5-004,src-001,문제은행!A191:N191,5,오디션 프로그램,最近选拔艺人的歌舞比赛节目很受欢迎，对此你有什么看法？,zuì jìn xuǎn bá yì rén de gē wǔ bǐ sài jié mù hěn shòu huān yíng ， duì cǐ nǐ yǒu shén me kàn fǎ ？,최근 연예인 오디션 프로그램의 인기에 대해 어떻게 생각합니까?,A 공식 샘플,YBM 공식 샘플,https://www.ybmtsc.co.kr/content/TSC/sample/sample5.php,공식 원문,입장 → 이유 2개 → 예시/반론 → 결론,raw,
P5-005,src-001,문제은행!A192:N192,5,성형,你赞成整容吗？请说明理由。,nǐ zàn chéng zhěng róng ma ？ qǐng shuō míng lǐ yóu 。,성형수술에 찬성합니까? 이유를 말해 주세요.,C 공개 기출형,공개 기출형·빈출 주제 자료,https://qingone.tistory.com/1430,기출형 정규화,50초: 입장 + 근거 2~3개 + 반대 측면 + 결론,raw,
P5-023,src-001,문제은행!A210:N210,5,남녀평등,你认为现在社会实现男女平等了吗？,nǐ rèn wéi xiàn zài shè huì shí xiàn nán nǚ píng děng le ma ？,현재 사회가 남녀평등을 이루었다고 생각합니까?,D 빈출 유형 변형,복수 자료 기반 변형,,연습 변형,50초: 입장 + 근거 2~3개 + 반대 측면 + 결론,raw,
P6-001,src-001,문제은행!A224:N224,6,일정 변경,你每周三去练瑜伽，可今天特别累想回家休息。请给老师打电话说明情况，并改约时间。,nǐ měi zhōu sān qù liàn yú jiā ， kě jīn tiān tè bié lèi xiǎng huí jiā xiū xī 。 qǐng gěi lǎo shī dǎ diàn huà shuō míng qíng kuàng ， bìng gǎi yuē shí jiān 。,매주 수요일 요가 수업에 가지만 오늘은 피곤합니다. 강사에게 사정을 설명하고 일정을 바꾸세요.,A 공식 샘플,YBM 공식 샘플,https://www.ybmtsc.co.kr/content/TSC/sample/sample6.php,공식 상황 원문,상황 설명 → 요청/거절 → 대안 → 감사,raw,
P6-004,src-001,문제은행!A227:N227,6,분실 위로,朋友的手机可能落在出租车上了。请安慰他，并提出解决办法。,péng yǒu de shǒu jī kě néng luò zài chū zū chē shàng le 。 qǐng ān wèi tā ， bìng tí chū jiě jué bàn fǎ 。,친구가 휴대전화를 택시에 두고 내린 것 같습니다. 위로하고 해결 방법을 제시하세요.,C 공개 기출형,공개 기출형·강의·후기,https://qingone.tistory.com/1433,상황 요약/변형,40초: 상대에게 직접 말하는 역할극,raw,
P6-009,src-001,문제은행!A232:N232,6,식당 항의,餐厅端来的菜有问题。请叫服务员说明情况并提出要求。,cān tīng duān lái de cài yǒu wèn tí 。 qǐng jiào fú wù yuán shuō míng qíng kuàng bìng tí chū yāo qiú 。,식당 음식에 문제가 있습니다. 종업원을 불러 상황을 설명하고 요구하세요.,C 응시후기 회상,공개 기출형·강의·후기,https://blumay.tistory.com/entry/TSC-%EC%8B%9C%ED%97%98-%ED%9B%84%EA%B8%B0-%EC%98%88%EC%83%81-%EB%8B%B5%EB%B3%80-%EC%A0%95%EB%A6%AC,상황 요약/변형,40초: 상대에게 직접 말하는 역할극,raw,
P6-012,src-001,문제은행!A235:N235,6,수하물,机场工作人员说你的行李超重了。请询问解决办法并协商。,jī chǎng gōng zuò rén yuán shuō nǐ de xíng lǐ chāo zhòng le 。 qǐng xún wèn jiě jué bàn fǎ bìng xié shāng 。,공항 직원이 짐이 초과 중량이라고 말합니다. 해결책을 묻고 협의하세요.,B 강의 기출·복원,공개 기출형·강의·후기,,상황 요약/변형,40초: 상대에게 직접 말하는 역할극,raw,
P7-001,src-001,문제은행!A243:N243,7,공식 샘플,请根据四幅连续的图片，讲述一个完整的故事。,qǐng gēn jù sì fú lián xù de tú piàn ， jiǎng shù yí gè wán zhěng de gù shì 。,"한 여성이 새 원피스를 입어 보고 구매한다. 친구들에게 보여주던 중 음료가 옷에 쏟아지고, 집에서 얼룩을 지우려 한다.",A 공식 샘플,공식 샘플·응시후기·유형 연습,https://www.ybmtsc.co.kr/content/TSC/sample/sample7.php,스토리 소재,새 원피스 구매 → 자랑 → 음료를 쏟음 → 세탁·수습,raw,
P7-002,src-001,문제은행!A244:N244,7,운전 사고,请根据四幅连续的图片，讲述一个完整的故事。,qǐng gēn jù sì fú lián xù de tú piàn ， jiǎng shù yí gè wán zhěng de gù shì 。,여자가 운전면허를 딴 뒤 운전하다 사고를 내고 수리비가 많이 든다.,C 응시후기 회상,공식 샘플·응시후기·유형 연습,https://blumay.tistory.com/entry/TSC-%EC%8B%9C%ED%97%98-%ED%9B%84%EA%B8%B0-%EC%98%88%EC%83%81-%EB%8B%B5%EB%B3%80-%EC%A0%95%EB%A6%AC,스토리 소재,면허 취득 → 운전 → 사고 → 높은 수리비,raw,
P7-005,src-001,문제은행!A247:N247,7,휴대전화 분실,请根据四幅连续的图片，讲述一个完整的故事。,qǐng gēn jù sì fú lián xù de tú piàn ， jiǎng shù yí gè wán zhěng de gù shì 。,사람이 택시에서 휴대전화를 잃어버리고 기사에게 연락해 되찾는다.,D 유형 변형,공식 샘플·응시후기·유형 연습,https://qingone.tistory.com/1433,스토리 소재,택시 탑승 → 분실 발견 → 기사 연락 → 회수,raw,
P7-007,src-001,문제은행!A249:N249,7,생일 케이크,请根据四幅连续的图片，讲述一个完整的故事。,qǐng gēn jù sì fú lián xù de tú piàn ， jiǎng shù yí gè wán zhěng de gù shì 。,친구들이 몰래 생일 케이크를 준비해 주인공을 놀라게 한다.,E 연습 변형,공식 샘플·응시후기·유형 연습,,스토리 소재,생일 준비 → 주인공 등장 → 깜짝 축하 → 함께 식사,raw,
